DATAFLOW,LAST UPDATE,freq,nutrient,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DK,2016,53232,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DK,2017,53870,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DK,2018,54937,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DK,2019,54597,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DK,2008,190000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DK,2009,190000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DK,2010,197000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DK,2011,187000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DK,2012,189000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DK,2013,186794,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DK,2014,204668,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DK,2015,225054,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DK,2016,228139,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DK,2017,224759,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DK,2018,230203,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DK,2019,225646,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DK,2008,7000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DK,2009,11000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DK,2010,10000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DK,2011,10000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DK,2012,10000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DK,2013,13601,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DK,2014,13985,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DK,2015,14449,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DK,2016,14839,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DK,2017,14235,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DK,2018,14132,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DK,2019,14365,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EE,2008,8000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EE,2009,9000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EE,2010,7000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EE,2011,11000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EE,2012,12000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EE,2013,10807,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EE,2014,10697,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EE,2015,16448,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EE,2016,14697,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EE,2017,16421,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EE,2018,16686,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,EE,2019,17218,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EE,2008,31000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EE,2009,35000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EE,2010,37000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EE,2011,39000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EE,2012,41000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EE,2013,48895,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EE,2014,50925,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EE,2015,59730,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EE,2016,53775,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EE,2017,55185,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EE,2018,58450,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,EE,2019,62550,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,EE,2008,3000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,EE,2009,3000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,EE,2010,3000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,EE,2011,3000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,EE,2012,3000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,EE,2013,4534,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,EE,2014,4720,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,EE,2015,5032,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,EE,2016,4116,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,EE,2017,5283,
